cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,56289053.9679915,52769373.89594266,118293847.13260822,1441.1675822054835,0.2116729868480343,0.5534398657968548,52771668.7321206,1.0294054158610595,0.2034644699331696,True,1400.0,7.0,56288819.95948019,5376502.980033481,0.0208852127301179,0.2142857142857142,58035714.28571428,0.1833504311842937
1,1400.0000000000005,1.1368683772161605e-13,36.0,2.0,14488945.542892125,8940316.981426762,4589.672355869167,565.1061847122181,0.2510473583396757,0.4200398338391076,8940316.981426762,0.4036472747944415,0.0009818073523872,False,1400.0,9.0,14488929.28767457,2624.298812346206,0.0002534356428538,0.1428571428571428,81250000.0,7.916257022662253e-06
2,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,4619858.36404024,19172607.156311795,3462101.5787051423,2045.724566015669,0.7391787596068229,0.9999999387147896,19172607.156311795,1.4612318328683351,0.0,False,1400.0,4.0,4619858.36404024,214.2542524482468,4.417345015555687e-05,0.1428571428571428,114285714.28571428,0.0001459899781749
3,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,78121028.58386919,29533644.440218437,16077112.926662091,1974.7265633499744,0.0277940417177053,0.3977067480733101,29533644.440218437,1.4105189738214103,0.0,True,1400.0,6.0,78120006.39167474,1937.495533657681,0.1897141279954131,0.0714285714285714,58035714.28571428,0.0288312017807921
4,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,8155185.669551267,89160375.25747481,5362047.159687185,2307.346744639826,0.4761421605671918,0.4038937504745342,89160375.25747481,1.6481048175998756,1.7113907956974227e-05,False,1400.0,9.0,8155185.669551267,3160.309778761559,1.3231699135358536e-05,0.125,81250000.0,0.0002241385722166
5,1400.0000000000005,1.1368683772161605e-13,36.0,1.0,1512828.796857989,18799163.083870776,1263.476323648836,2142.8229044883765,1.6174301344406163,0.8676680121096735,18799163.083870776,1.5305877889202688,1.7113615076141004e-05,False,1400.0,5.0,1512828.796857989,98.37117086232304,3.662673258138776e-05,0.2678571428571428,114285714.28571428,0.0008890951268552
6,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,52106677.43106783,56336817.059798434,40807409.58471443,2545.624677755934,0.0681070999647149,0.4376078222373652,56336995.73012057,1.8183033412542384,0.0001342321424748,True,1400.0,12.0,52106222.6304453,1796446.4550725273,0.0367771908314663,0.2142857142857142,58035714.28571428,0.0391650124634272
7,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,8112109.132448248,47679222.32637446,16082540.194608929,1620.0632703694016,0.5371384654916761,0.3899143775120541,47679222.32637446,1.1571880502638583,5.000250012500625e-05,False,1400.0,2.0,8112089.567086461,1758.8252115192304,8.406464081650139e-06,0.0714285714285714,81250000.0,4.561979174149078e-05
8,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,1574738.7271944124,3582077.654524206,4232.331711592265,731.3036305119783,0.4919497981391191,0.7233631331039643,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1574738.7271944124,0.0,0.0009388084475929,0.0357142857142857,114285714.28571428,7.065840507604874e-05
9,700.0000000000006,1212.4355652982142,46.0,3.0,71668985.5391338,59909933.32020585,94118882.9939662,1695.644735477283,0.127767103285665,0.6610879920311703,59909933.32020585,1.2111748110552023,0.2261778015346865,True,1399.9999999999995,11.0,71667710.42780113,3583038.164417575,0.0231949569371049,0.2321428571428571,58035714.28571428,0.0
10,700.0000000000006,1212.4355652982142,46.0,1.0,17995789.281235427,68285163.14627132,21166633.44897133,1642.3517305545345,0.280631690107443,0.4496451670409083,68285163.14627132,1.173108378967525,6.374717232491306e-05,False,1399.9999999999995,1.0,17995789.281235427,4768.342678007617,1.997392215015089e-06,0.2321428571428571,81250000.0,1.1385016715094253e-05
