cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,44554410.61295291,70352583.96184228,97136956.9173249,1568.1587929798434,0.1193483385364924,0.6204188077438479,70355414.80898663,1.120113423557031,0.1578337454405776,True,1400.0,9.0,44366503.2735826,5375514.592130247,0.0533270875113618,0.2142857142857142,58035714.28571428,0.1116699331441733
1,1400.0000000000005,1.1368683772161605e-13,36.0,2.0,13740836.79417632,5367982.56059057,4589.672355869167,565.1061847122181,0.2157969680214641,0.3103548145605482,5367982.56059057,0.4036472747944415,0.0009818073523872,False,1400.0,9.0,13740814.450798262,2624.298812346206,0.0004219502446458,0.1428571428571428,81250000.0,9.586356602253604e-06
2,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,4715646.383186018,19148303.14586964,3457712.8718258627,2045.724566015669,0.7213994317230272,0.999982793867332,19148303.14586964,1.4612318328683351,0.0,False,1400.0,4.0,4715646.383186018,213.98265466572707,4.417345015555687e-05,0.1428571428571428,114285714.28571428,0.0001469205820954
3,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,61295827.662919655,57837526.21136192,19649804.68814256,626.2946590862804,0.1186133413377222,0.5215326849192065,57837526.21136192,0.4473533279187717,0.0001368880315566,True,1400.0,10.0,61258847.34719151,3009.517466488387,0.1347233260021232,0.0714285714285714,58035714.28571428,0.0735176489125966
4,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,6808883.818872787,73642263.29295835,5362047.159687187,2867.125564044937,0.3562527890004057,0.3295888348756557,73642263.29295835,2.047946831460669,2.064750253648161e-05,False,1400.0,9.0,6808883.818872787,3160.309778761559,1.5830683766537147e-05,0.0535714285714285,81250000.0,0.0003703142776758
5,1400.0000000000005,1.1368683772161605e-13,36.0,1.0,1294599.079854073,18779160.48082905,1262.1319651132017,2142.8229044883765,1.458907869364881,0.8676687791945846,18779160.48082905,1.5305877889202688,1.7113615076141e-05,False,1400.0,5.0,1294599.079854073,98.26650240060847,3.662673258138776e-05,0.1964285714285714,114285714.28571428,0.0008725316262987
6,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,42952025.42259406,72136579.25038484,30368058.64290609,2545.624677755934,0.0916211986183588,0.5327350848642523,72136757.92070697,1.8183033412542384,0.0001292319534673,True,1400.0,12.0,42951361.5280704,1797820.0616299044,0.0348539523177448,0.2142857142857142,58035714.28571428,0.0443842278624945
7,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,10827990.714473149,33668759.77797504,10724038.563354645,1564.09878204671,0.5719009275158962,0.3170334603408837,33668759.77797504,1.11721341574765,6.666222251849875e-05,False,1400.0,2.0,10827963.061237397,1937.495533657681,1.2074277505419766e-05,0.0892857142857142,81250000.0,7.329660107771208e-05
8,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,1625862.8449166694,3582077.654524206,4232.331711592265,731.3036305119783,0.4889347636752383,0.7234250866122073,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1625862.8449166694,0.0,0.0009388084475929,0.0535714285714285,114285714.28571428,7.01826582160989e-05
9,700.0000000000006,1212.4355652982142,46.0,3.0,78396681.18775795,62930246.32372275,62243917.49424149,2146.689107243203,0.06396684339905,0.6877593446098723,64717128.2154294,1.533349362316574,0.4424553708250016,True,1399.9999999999995,1.0,78395587.39705317,8668957.402274188,0.0142708832737883,0.2321428571428571,58035714.28571428,0.0
