cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,46054307.382637866,68847257.25991172,140681036.0279302,1568.1587929798434,0.1440839516272896,0.6114059835506419,68850417.56969047,1.120113423557031,0.1363859465955502,True,1400.0,12.0,46053138.438990615,5378138.890942488,0.0341022370336627,0.2142857142857142,58035714.28571428,0.2173165899707277
1,1400.0000000000005,1.1368683772161605e-13,36.0,2.0,16646961.672041904,10447787.727221664,4589.672355869167,1981.176418191979,0.1954481748046679,0.3758850724482679,10447787.727221664,1.4151260129942709,2.6019301172451327e-05,False,1400.0,9.0,16646804.923159543,2624.298812346206,0.000216884454264,0.1428571428571428,81250000.0,9.51709627082659e-06
2,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,4275588.680565778,20032393.851499896,3064560.166113784,2045.724566015669,0.7783930552590297,0.9999853057924938,20032393.851499896,1.4612318328683351,0.0,False,1400.0,4.0,4275588.680565778,189.65216142472525,3.8318620685096366e-05,0.1428571428571428,114285714.28571428,0.0001469205820954
3,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,73395006.46170065,20879416.564905223,10718075.284441397,382.952999727121,0.1120935869872875,0.3466168043687172,20879416.564905223,0.2735378569479436,4.129500507296322e-05,True,1400.0,4.0,73393749.28512529,714.6812885538038,0.2738510101474092,0.0714285714285714,58035714.28571428,0.0479515074108185
4,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,10610760.144154202,75428430.50337645,5362047.159687185,2867.125564044937,0.5285924346658293,0.3518818668455233,75428430.50337645,2.047946831460669,2.064750253648161e-05,False,1400.0,9.0,10610760.144154202,3160.309778761559,1.5480688951799044e-05,0.125,81250000.0,0.0001953057068739
5,1400.0000000000005,1.1368683772161605e-13,36.0,1.0,1617765.0671522354,18736555.25053192,1259.2685025482008,2142.8229044883765,1.5958557362573729,0.8676680927212272,18736555.25053192,1.5305877889202688,1.7113615076141004e-05,False,1400.0,5.0,1617765.0671522354,98.04356022118868,3.66267325813878e-05,0.2678571428571428,114285714.28571428,0.0008700224136685
6,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,70497903.03531519,42323674.45656693,37513620.83618916,2545.624677755934,0.0518801468697661,0.4566243694503515,42324031.7972112,1.8183033412542384,0.0001825800832681,True,1400.0,7.0,70496780.65609609,1795525.2254519674,0.0223748296355715,0.2142857142857142,58035714.28571428,0.0650599794350972
7,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,10218806.732824262,40813428.61964741,14296372.984190833,1564.09878204671,1.1981199609951538,0.3415155034882597,40813428.61964741,1.11721341574765,5.000125003125077e-05,False,1400.0,2.0,10218763.214859216,1937.495533657681,9.726236546241189e-06,0.0714285714285714,81250000.0,4.082208020715881e-05
8,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,1527534.6484934827,3582077.654524206,4232.331711592265,731.3036305119783,0.6441873981830295,0.7234230147716085,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1527534.6484934827,0.0,0.0009388084475929,0.0357142857142857,114285714.28571428,7.065840507604874e-05
9,700.0000000000006,1212.4355652982142,46.0,3.0,73927452.72778742,21440025.55995011,69110219.33392508,934.602296791912,0.1026754993864787,0.5340300814045925,21440204.23027225,0.6675730691370803,0.0001307418820379,True,1399.9999999999995,1.0,73926553.14399233,4053.6613894538136,0.0197276758647514,0.2321428571428571,58035714.28571428,0.0
10,700.0000000000006,1212.4355652982142,46.0,1.0,15682910.72267416,75429831.9879437,33391107.4572748,1642.3517305545345,0.2047747486597942,0.4813060494451642,75429831.9879437,1.173108378967525,6.374717232491306e-05,False,1399.9999999999995,1.0,15682910.72267416,4768.342678007617,1.6418744687312256e-06,0.2857142857142857,81250000.0,1.2336567182764448e-05
11,700.0000000000006,1212.4355652982142,46.0,0.0,608360.2980554594,5366279.49139878,6197.705255115221,679.6030679831399,0.3991464817976083,0.827715017795566,5366279.49139878,0.4854307628451001,0.0,False,1399.9999999999995,10.0,608360.2980554594,0.0,0.0004323357927412,0.125,114285714.28571428,6.32895020884183e-05
12,700.0000000000006,1212.4355652982142,46.0,0.0,73085334.60852945,73868343.57733592,74134856.28859834,2146.689107243203,0.1955655390685467,0.7536194761691367,73868879.18347271,1.533349362316574,0.5,True,1399.9999999999995,2.0,73084134.65546599,10444538.812329942,0.0120605278816271,0.3392857142857143,58035714.28571428,0.0406960398304045
13,700.0000000000006,1212.4355652982142,46.0,0.0,12352794.061078075,12230493.043236444,6869490.027472223,498.016395324589,7.739412691904079e-05,0.3031974878235017,12230493.043236444,0.3557259966604209,8.257125635345143e-05,False,1399.9999999999995,6.0,12352794.061078075,1072.0219328307055,2.8063426257029933e-05,0.2321428571428571,81250000.0,1.4385211111924897e-05
14,700.0000000000006,1212.4355652982142,46.0,0.0,974714.8137749914,17895316.230067715,2027.862485602556,2057.485412245371,0.660305206623532,0.907344260660782,17895316.230067715,1.4696324373181229,5.000500050005001e-05,False,1399.9999999999995,7.0,974714.8137749914,238.5720571297124,6.561018369323711e-05,0.25,114285714.28571428,0.0002729736068076
15,700.0000000000006,1212.4355652982142,46.0,2.0,78853881.23068973,33944804.06577601,51247626.00012359,1026.999580284068,0.0247175444599966,0.5542734906395942,33945848.20969898,0.7335711287743344,4.000640102416387e-05,True,1399.9999999999995,1.0,78853043.12892067,5276.47563455769,0.0209683639656531,0.1964285714285714,58035714.28571428,0.0120605278816271
16,700.0000000000006,1212.4355652982142,46.0,2.0,19877842.911728784,14017525.72725537,3160.309778761559,1925.1434032706816,0.1009766994698035,0.3873925472027388,14017525.72725537,1.3751024309076303,0.0,False,1399.9999999999995,5.0,19877842.911728784,2624.298812346206,1.2743336643193671e-05,0.125,81250000.0,1.8708950838019957e-05
