cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,62919037.32694843,54553218.39217296,109363011.08051774,1441.1675822054835,0.2243347280404626,0.5780408026614748,54556406.57996158,1.0294054158610595,0.2034874776578438,True,1400.0,7.0,62918093.06253038,5374894.947134236,0.0217958390878902,0.2142857142857142,58035714.28571428,0.264587401760491
1,1400.0000000000005,1.1368683772161605e-13,36.0,2.0,18650696.62769448,15806289.358475946,4589.672355869167,1981.176418191979,0.2489712603560306,0.4533326315282824,15806289.358475946,1.4151260129942709,2.6019301172451327e-05,False,1400.0,9.0,18650569.760390136,2624.298812346206,0.0001433796415524,0.1428571428571428,81250000.0,8.017641475814666e-06
2,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,4746517.08190105,19302090.93520019,3360347.5571416244,2045.724566015669,0.7391787596068229,0.9999999367872676,19302090.93520019,1.4612318328683351,0.0,False,1400.0,4.0,4746517.08190105,207.9571432132693,4.282269397693166e-05,0.1428571428571428,114285714.28571428,0.0001459899781749
3,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,79428246.97960755,22666834.46757829,14290767.04592186,405.6525606969589,0.1023371706340137,0.2844824154167527,22666834.46757829,0.2897518290692564,0.0002,True,1400.0,4.0,79426666.02202544,1786.7032213845096,0.3308033076248921,0.0714285714285714,58035714.28571428,0.0108979195439451
4,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,7267096.492744762,80508235.67000754,12228019.536736367,2307.346744639826,0.5306186602638866,0.4292336496545075,80508235.67000754,1.6481048175998756,1.7113907956974227e-05,False,1400.0,9.0,7267096.492744762,3160.309778761559,1.3486551211075913e-05,0.125,81250000.0,0.0001319217719447
5,1400.0000000000005,1.1368683772161605e-13,36.0,1.0,2037957.5500724963,18799163.083870776,1263.476323648836,2142.8229044883765,1.5876515555237056,0.8676680121096735,18799163.083870776,1.5305877889202688,1.7113615076141004e-05,False,1400.0,5.0,2037957.5500724963,98.37117086232304,3.662673258138776e-05,0.2678571428571428,114285714.28571428,0.00088851623135
6,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,61028514.1902017,42327192.106989965,53311830.74989606,2545.624677755934,0.049604902214478,0.4515311659401138,42327370.77731211,1.8183033412542384,0.0001513423347732,True,1400.0,10.0,61027604.2995506,1798864.2055528697,0.0186780022147791,0.2142857142857142,58035714.28571428,0.0966700114501587
7,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,11473557.377812171,47679400.99669659,12510205.77377274,1564.09878204671,0.946310619465778,0.4077083715009225,47679400.99669659,1.11721341574765,5.000125003125077e-05,False,1400.0,2.0,11473534.191891264,1937.495533657681,8.905374119811237e-06,0.0714285714285714,81250000.0,2.83808852033138e-05
8,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,1549312.6825123096,3582077.654524206,4232.331711592265,731.3036305119783,0.4717611354380034,0.7233631331039643,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1549312.6825123096,0.0,0.0009388084475929,0.0357142857142857,114285714.28571428,7.065840507604874e-05
9,700.0000000000006,1212.4355652982142,46.0,3.0,74539668.4518357,41766555.23393522,97692110.76641308,952.2089537440858,0.0931973945952513,0.5564282373048113,41767091.24490164,0.6801492526743472,0.125204392466585,True,1399.9999999999995,8.0,74538465.05943447,1796033.358408521,0.0,0.2321428571428571,58035714.28571428,0.0
