cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,day
0,1400.0000000000007,1.1368683772161605e-13,36.0,0.0,56289053.9679915,52769373.89594266,118293847.13260822,1441.1675822054833,0.2116729868480343,0.5534398657968548,52771668.732120596,1.0294054158610595,0.2034644699331696,True,1400.0,7.0,56288819.95948019,5376502.9800334815,0.0208852127301179,0.2142857142857142,58035714.28571428,0.1833504311842937,1
1,1400.0000000000007,1.1368683772161605e-13,36.0,2.0,14488945.542892125,8940316.981426762,4589.6723558691665,565.1061847122181,0.2510473583396757,0.4200398338391076,8940316.981426762,0.4036472747944415,0.0009818073523872,False,1400.0,9.0,14488929.28767457,2624.298812346206,0.0002534356428538,0.1428571428571428,81250000.0,7.916257022662253e-06,1
2,1400.0000000000007,1.1368683772161605e-13,36.0,0.0,4619858.36404024,19172607.156311795,3462101.5787051427,2045.7245660156689,0.7391787596068229,0.9999999387147896,19172607.156311795,1.4612318328683351,0.0,False,1400.0,4.0,4619858.36404024,214.2542524482468,4.417345015555687e-05,0.1428571428571428,114285714.28571428,0.0001459899781749,1
3,1400.0000000000007,1.1368683772161605e-13,36.0,3.0,78121028.58386919,29533644.44021844,16077112.926662093,1974.7265633499744,0.0277940417177053,0.3977067480733101,29533644.44021844,1.4105189738214103,0.0,True,1400.0,6.0,78120006.39167474,1937.4955336576809,0.1897141279954131,0.0714285714285714,58035714.28571428,0.0288312017807921,1
4,1400.0000000000007,1.1368683772161605e-13,36.0,0.0,8155185.669551267,89160375.25747481,5362047.159687185,2307.346744639826,0.4761421605671918,0.4038937504745342,89160375.25747481,1.6481048175998756,1.7113907956974227e-05,False,1400.0,9.0,8155185.669551267,3160.309778761559,1.3231699135358534e-05,0.125,81250000.0,0.0002241385722166,1
5,1400.0000000000007,1.1368683772161605e-13,36.0,1.0,1512828.7968579892,18799163.083870776,1263.4763236488361,2142.8229044883765,1.6174301344406163,0.8676680121096735,18799163.083870776,1.5305877889202688,1.7113615076141007e-05,False,1400.0,5.0,1512828.7968579892,98.37117086232305,3.662673258138776e-05,0.2678571428571428,114285714.28571428,0.0008890951268552,1
6,1400.0000000000007,1.1368683772161605e-13,36.0,0.0,52106677.43106783,56336817.05979843,40807409.58471443,2545.624677755934,0.0681070999647149,0.4376078222373652,56336995.73012057,1.8183033412542384,0.0001342321424748,True,1400.0,12.0,52106222.630445294,1796446.4550725273,0.0367771908314663,0.2142857142857142,58035714.28571428,0.0391650124634272,1
7,1400.0000000000007,1.1368683772161605e-13,36.0,0.0,8112109.132448248,47679222.32637446,16082540.194608927,1620.0632703694016,0.5371384654916761,0.3899143775120541,47679222.32637446,1.1571880502638583,5.000250012500625e-05,False,1400.0,2.0,8112089.567086461,1758.8252115192306,8.406464081650139e-06,0.0714285714285714,81250000.0,4.561979174149078e-05,1
8,1400.0000000000007,1.1368683772161605e-13,36.0,3.0,1574738.7271944126,3582077.654524206,4232.331711592265,731.3036305119783,0.4919497981391191,0.7233631331039643,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1574738.7271944126,0.0,0.0009388084475929,0.0357142857142857,114285714.28571428,7.065840507604874e-05,1
9,700.0000000000006,1212.4355652982142,46.0,3.0,71668985.5391338,59909933.32020585,94118882.99396619,1695.6447354772831,0.12776710328566498,0.6610879920311703,59909933.32020585,1.2111748110552023,0.2261778015346865,True,1399.9999999999993,11.0,71667710.42780113,3583038.164417575,0.0231949569371049,0.2321428571428571,58035714.28571428,0.0,1
10,700.0000000000006,1212.4355652982142,46.0,1.0,17995789.281235427,68285163.14627132,21166633.44897133,1642.3517305545347,0.280631690107443,0.4496451670409083,68285163.14627132,1.173108378967525,6.374717232491306e-05,False,1399.9999999999993,1.0,17995789.281235427,4768.342678007617,1.997392215015089e-06,0.2321428571428571,81250000.0,1.1385016715094253e-05,1
11,700.0000000000006,1212.4355652982142,46.0,0.0,481977.4445758406,3580112.280980681,6197.705255115221,679.6030679831399,0.3429760898668509,0.8653109115444874,3580112.280980681,0.4854307628451001,0.0,False,1399.9999999999993,10.0,481977.4445758406,0.0,0.0006476612999752,0.0714285714285714,114285714.28571428,6.14895025489975e-05,1
12,700.0000000000006,1212.4355652982142,46.0,0.0,77478297.2195721,84364538.6096547,49739655.956264004,2199.4747323954152,0.1027282995837476,0.7121651075201089,84365253.29066962,1.5710533802824398,0.7450335595416201,True,1399.9999999999993,1.0,77477562.08147673,10453651.967600608,0.0133205766054503,0.3392857142857143,58035714.28571428,0.0231949569371049,1
13,700.0000000000006,1212.4355652982142,46.0,0.0,9150362.50153738,14016660.253654538,8655657.237890316,498.016395324589,7.351338511775183e-05,0.3080316458407152,14016660.253654538,0.3557259966604209,8.257125635345143e-05,False,1399.9999999999993,6.0,9150362.50153738,1072.0219328307055,2.3641648746990525e-05,0.2142857142857142,81250000.0,1.660118045307444e-05,1
14,700.0000000000006,1212.4355652982142,46.0,0.0,781144.0743224749,18564921.38345212,1972.310628936814,2057.485412245371,0.6670863899588899,0.9059410725500859,18564921.38345212,1.4696324373181229,5.000500050005e-05,False,1399.9999999999993,7.0,781144.0743224749,232.0365445808017,6.15116539724987e-05,0.2321428571428571,114285714.28571428,0.0003918368089174,1
15,700.0000000000006,1212.4355652982142,46.0,2.0,70537098.0587457,35732043.29812693,58392830.85276239,1026.999580284068,0.0271029066573818,0.5381493508515366,35732908.77172776,0.7335711287743344,8.074245584178894e-05,True,1399.9999999999993,5.0,70536494.25750709,5991.156923111489,0.0,0.1964285714285714,58035714.28571428,0.0133205766054503,1
16,700.0000000000006,1212.4355652982142,46.0,2.0,13843218.730828527,12231358.516837275,3160.309778761559,1099.0161542823269,0.0964297617978179,0.3341485601954377,12231358.516837275,0.7850115387730909,0.0005838805733021,False,1399.9999999999993,5.0,13843218.730828527,2624.298812346206,1.4603788238059351e-05,0.1071428571428571,81250000.0,1.576109916466035e-05,1
17,700.0000000000006,1212.4355652982142,46.0,0.0,485587.38434342993,18155153.064684685,2495612.5002779984,1432.0663203201186,1.2016845191221934,1.0,18155153.064684685,1.022904514514371,0.0,False,1399.9999999999993,5.0,485587.38434342993,0.0,4.515373946957357e-05,0.3035714285714285,114285714.28571428,0.0001568644209994,1
18,2800.0,4.547473508864641e-13,60.0,0.0,61988818.42725191,8939122.045191523,84355927.57536602,683.0,0.0769936009083928,0.290348777116333,8944069.058191663,0.3773588132608171,0.0004254358617646,True,1809.9484522385712,1.0,61987459.0037046,12339.654490499892,0.019147274030138998,0.125,58035714.28571428,0.0120832439161879,1
19,2800.0,4.547473508864641e-13,60.0,3.0,32966683.06906023,33388276.61013046,49748619.91775188,649.1941158082075,0.1176014310969352,0.4290858352987533,33389320.754053425,0.3586809972434709,0.0002022502721703,False,1809.9484522385712,11.0,32966543.39696138,4081.539399319093,4.298219673825057e-06,0.1071428571428571,81250000.0,6.157860302630075e-06,1
20,2800.0,4.547473508864641e-13,60.0,0.0,1658276.3757598647,19569476.747103,14631172.240154127,1059.3700958588547,0.2276033322546403,0.9203589137111814,19569476.747103,0.5853040149008719,8.289118024617262e-05,False,1809.9484522385712,4.0,1658276.3757598647,721.7046715990808,4.220415067959571e-05,0.1964285714285714,114285714.28571428,6.532225096103305e-05,1
21,2800.0,4.547473508864641e-13,60.0,0.0,58420998.80614328,68565082.4251396,79271532.73637903,2871.410803072246,0.082612418091311,0.4216143234528424,68565947.89874044,1.5864599897974123,0.1130814283535954,True,1809.9484522385712,5.0,58418622.83678541,1799701.8011438325,0.0585308656560776,0.0892857142857142,58035714.28571428,0.0338536453003282,1
22,2800.0,4.547473508864641e-13,60.0,3.0,42118884.79284001,50980046.375745796,3545.5284329037395,1761.7973776799647,1.8758888598226613,0.489093362576899,50980046.375745796,0.9733964387223001,0.0001665953418167,False,1809.9484522385712,6.0,42118548.63893378,3874.9910673153618,3.8002334894314896e-05,0.1964285714285714,81250000.0,1.5002065569281583e-05,1
23,2800.0,4.547473508864641e-13,60.0,0.0,5842069.231131008,18915097.096375905,3441.4731830009882,1252.104228888314,0.629556633808458,0.9189840867184156,18915097.096375905,0.6917899939855705,4.9977899848765664e-05,False,1809.9484522385712,12.0,5842069.231131008,157.54797562459117,0.0001722830183025,0.0357142857142857,114285714.28571428,0.0001023603616781,1
24,2800.0,4.547473508864641e-13,60.0,0.0,77291792.77008405,21168007.055528715,31598714.66359173,1957.6008275437566,0.1219981655763755,0.3536262470107255,21169944.551062368,1.0815782212595983,0.0002947710411722,True,1809.9484522385712,8.0,77290191.20994778,3585210.0862931027,0.0338536453003282,0.0,58035714.28571428,0.0655948957700287,1
25,2800.0,4.547473508864641e-13,60.0,1.0,12266987.786677204,46175598.69363701,21160943.87667277,1448.9755001379428,0.5881392486853921,0.4107438931161701,46175777.36395914,0.8005617498917322,0.0001249786162538,False,1809.9484522385712,11.0,12266840.545661924,4617.550365734445,1.550634890223505e-05,0.0,81250000.0,3.314251046569928e-05,1
