cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,51600227.01415566,63208244.58280389,126947924.2156083,1585.7001608122512,0.2408278005253404,0.6302522911069687,63211611.440914646,1.1326429720087507,0.1846575700616184,True,1400.0,9.0,51312937.46636237,5377094.747019591,0.0281822970881469,0.2142857142857142,58035714.28571428,0.3259381340021676
1,1400.0000000000005,1.1368683772161605e-13,36.0,2.0,15435180.41287084,14020122.148057852,4589.672355869167,1981.176418191979,0.2182630042066895,0.3739991723089463,14020122.148057852,1.4151260129942709,2.6019301172451327e-05,False,1400.0,9.0,15435048.516806517,2624.298812346206,0.0001616402673436,0.1428571428571428,81250000.0,1.0082893834612892e-05
2,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,4708209.510216434,19151044.15980906,3458207.831567621,2045.724566015669,0.7783930552590297,0.9999835165294122,19151044.15980906,1.4612318328683351,0.0,False,1400.0,4.0,4708209.510216434,214.0132855490364,4.4173450155556886e-05,0.1428571428571428,114285714.28571428,0.0001469205820954
3,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,98062563.58691049,24452644.33735211,16077112.926662091,324.81533215043913,0.0146342113523368,0.4127679327162651,24452644.33735211,0.2320109515360279,6.845563182789691e-05,True,1400.0,8.0,98060418.8684478,1250.6922549691567,0.3016474227296592,0.0714285714285714,58035714.28571428,0.0187881980587646
4,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,12571582.85089138,63482652.95969618,5362047.159687185,1222.92518168529,0.7359928401228382,0.3777529394723794,63482652.95969618,0.8735179869180643,0.0002670501324194,False,1400.0,9.0,12571582.85089138,3160.309778761559,1.816686328505078e-05,0.1071428571428571,81250000.0,0.0001505322827776
5,1400.0000000000005,1.1368683772161605e-13,36.0,1.0,1722593.5580898903,18736555.25053192,1259.2685025482008,2142.8229044883765,1.6138795230254182,0.8676680927212272,18736555.25053192,1.5305877889202688,1.7113615076141004e-05,False,1400.0,5.0,1722593.5580898903,98.04356022118868,3.66267325813878e-05,0.25,114285714.28571428,0.0008725316262987
6,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,58456866.69587959,66498130.46225239,57163604.19465386,2545.624677755934,0.0383012653112266,0.5553811836420302,66498666.47321881,1.8183033412542384,4.678887255417879e-05,True,1400.0,8.0,58455839.121551365,1797490.5989954926,0.0,0.2142857142857142,58035714.28571428,0.0093940990293823
7,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,11335455.034699889,33668759.77797504,10724038.563354645,1564.09878204671,1.1855313393415328,0.337354602197877,33668759.77797504,1.11721341574765,6.666222251849875e-05,False,1400.0,2.0,11335433.457159948,1937.495533657681,1.2074277505419766e-05,0.0892857142857142,81250000.0,3.326515590599904e-05
8,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,1625898.3591069938,3582077.654524206,4232.331711592265,731.3036305119783,0.6288193426833188,0.7234230147716084,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1625898.3591069938,0.0,0.0009388084475929,0.0535714285714285,114285714.28571428,6.912096989143426e-05
9,700.0000000000006,1212.4355652982142,46.0,3.0,82947427.88575499,61144436.45393644,71175289.55728383,2146.689107243203,0.0598124933202781,0.7296532275411894,62930961.00499844,1.533349362316574,0.4424553708250016,True,1399.9999999999995,1.0,82946002.41145569,8669136.072594551,0.0270004470926487,0.2321428571428571,58035714.28571428,0.0
10,700.0000000000006,1212.4355652982142,46.0,1.0,13847277.45235532,84081971.57541096,8942159.440667868,1463.8800389491569,0.2214507772068444,0.4537811509098783,84081971.57541096,1.045628599249398,9.999218737856812e-05,False,1399.9999999999995,1.0,13847277.45235532,4768.342678007617,1.9206878923444983e-06,0.1785714285714285,81250000.0,1.103124212207652e-05
11,700.0000000000006,1212.4355652982142,46.0,0.0,608340.235976411,5366279.49139878,6197.705255115221,679.6030679831399,0.3960598877004735,0.827715017795566,5366279.49139878,0.4854307628451001,0.0,False,1399.9999999999995,10.0,608340.235976411,0.0,0.0004323357927412,0.0178571428571428,114285714.28571428,6.085822233836025e-05
12,700.0000000000006,1212.4355652982142,46.0,0.0,63945733.56661026,64852832.351279706,75492165.57698363,1898.6678645893264,0.0600795322815607,0.7877581664692511,64853009.88173117,1.3561913318495191,0.6608126585355109,True,1399.9999999999995,1.0,63389647.16505293,10383469.125597067,0.0126470446387192,0.3392857142857143,58035714.28571428,0.0488867424755195
13,700.0000000000006,1212.4355652982142,46.0,0.0,6788989.467031366,14016660.253654543,6869490.027472223,498.016395324589,6.666916122249249e-05,0.3009633484942387,14016660.253654543,0.3557259966604209,8.257125635345143e-05,False,1399.9999999999995,6.0,6788989.467031366,1072.0219328307055,2.566346402762913e-05,0.25,81250000.0,1.2076438155143851e-05
14,700.0000000000006,1212.4355652982142,46.0,0.0,1044844.9309199416,18238302.247008257,1937.611080195573,2057.485412245371,0.6603056248256369,0.9107747064178948,18238302.247008257,1.4696324373181229,5.000500050005001e-05,False,1399.9999999999995,7.0,1044844.9309199416,227.95424472889104,6.15116539724987e-05,0.2678571428571428,114285714.28571428,0.0002733918089127
15,700.0000000000006,1212.4355652982142,46.0,2.0,79596044.17965718,26798376.39889212,54821004.56488275,964.7247035744228,0.0354237589609896,0.5603516711887901,26800107.346093774,0.6890890739817307,2.0003600648116664e-05,True,1399.9999999999995,1.0,79595212.08324057,4919.134990280787,0.0218862953828707,0.1964285714285714,58035714.28571428,0.0126470446387192
16,700.0000000000006,1212.4355652982142,46.0,2.0,8431463.360490266,17589860.14809156,3160.309778761559,2620.8203619229357,0.1696650124614988,0.352070060311639,17589860.14809156,1.8720145442306688,0.0,False,1399.9999999999995,5.0,8431463.360490266,2624.298812346206,1.0155750262799356e-05,0.125,81250000.0,1.7108976018419422e-05
17,700.0000000000006,1212.4355652982142,46.0,0.0,493760.30825296,17915630.274413474,3640460.530793228,1295.5951349425322,1.2174415837759147,0.9999999999999994,17915630.274413474,0.9254250963875232,0.0,False,1399.9999999999995,5.0,493760.30825296,0.0,4.170632304410951e-05,0.3214285714285714,114285714.28571428,0.0001241118664051
18,2800.0,4.547473508864641e-13,60.0,0.0,61437493.29500972,15804737.081596429,59904176.5896246,483.5876342505051,0.0187668199274901,0.2920916614913392,15809326.75395229,0.2671830977575061,0.0007502250707395,True,1809.9484522385712,1.0,61435959.40716665,1797284.0506634896,0.1813963203896312,0.125,58035714.28571428,0.0
19,2800.0,4.547473508864641e-13,60.0,3.0,44401553.20886805,33388276.61013046,74197567.9343588,683.6519582360605,0.0194001965123379,0.4371941865834775,33389320.754053425,0.3777190214398148,0.0001834856883484,False,1809.9484522385712,11.0,44401403.392838925,4081.539399319093,3.321446662336077e-06,0.1964285714285714,81250000.0,5.844892406282428e-06
20,2800.0,4.547473508864641e-13,60.0,0.0,1657208.679535298,19524239.308962733,14597350.347127195,1059.3700958588547,0.2338591265503916,0.9204669686654878,19524239.308962733,0.5853040149008719,8.289118024617263e-05,False,1809.9484522385712,4.0,1657208.679535298,720.0363556364767,4.22041506795957e-05,0.2857142857142857,114285714.28571428,7.125431907011296e-05
21,2800.0,4.547473508864641e-13,60.0,0.0,83865822.65325941,14296166.435858827,31875680.181013264,442.66127004742606,0.0089925592883296,0.3425809465857041,14296345.106180968,0.2445712028427859,0.0009066869338819,True,1809.9484522385712,1.0,83861901.63888642,5578.060259104035,0.038689071623301,0.0892857142857142,58035714.28571428,0.1027813603009652
22,2800.0,4.547473508864641e-13,60.0,3.0,53789374.01695532,64990687.59446736,7148214.37010528,3870.074547085624,1.6445391713118562,0.4432693667954722,64990687.59446736,2.1382236285785146,4.129500507296322e-05,False,1809.9484522385712,6.0,53789007.5542705,3874.991067315362,2.685784619523574e-05,0.3214285714285714,81250000.0,1.797588268162127e-05
23,2800.0,4.547473508864641e-13,60.0,0.0,5926786.18152641,18456173.21687356,3662.9812904714354,1252.104228888314,0.6315766939461085,0.9143245532574472,18456173.21687356,0.6917899939855705,4.997789984876565e-05,False,1809.9484522385712,12.0,5926786.18152641,167.68844514467386,0.000187928446676,0.1607142857142857,114285714.28571428,8.786180379057622e-05
24,2800.0,4.547473508864641e-13,60.0,0.0,66029719.50421223,51256777.46682546,96580373.7056596,1380.5578582587548,0.2164703228942844,0.5556318170066251,51260473.78757064,0.7627608712011993,0.0001854242488663,True,1809.9484522385712,1.0,66027927.31327891,3586583.692850479,0.0241664002122992,0.0,58035714.28571428,0.1293872318181166
25,2800.0,4.547473508864641e-13,60.0,1.0,14888613.50536677,31886261.01029225,21160943.87667277,2729.83699147037,0.5924491671469261,0.3621317694542604,31886439.68061439,1.5082401866716515,4.129500507296322e-05,False,1809.9484522385712,11.0,14888487.961441364,4617.550365734445,1.968329764386885e-05,0.1071428571428571,81250000.0,2.3565061300670163e-05
26,2800.0,4.547473508864641e-13,60.0,3.0,684112.1335835856,19196602.544066403,6084053.323037385,2085.36279817206,1.0056242648922389,0.983543637112712,19196602.544066403,1.152166955690286,2.064707622592286e-05,False,1809.9484522385712,4.0,684112.1335835856,168.29032447763393,3.071922053397601e-05,0.0714285714285714,114285714.28571428,0.0001316587934926
27,2100.0000000000005,1212.4355652982142,30.0,3.0,78269300.39975183,5363420.766244562,22943772.106989965,408.3004543963569,0.0289614059872422,0.2404802874050311,5363420.766244562,0.2543968917080984,0.0009259226620774,True,1604.9742261192853,3.0,78267842.51876251,4383.124023865436,0.0631057232958371,0.25,58035714.28571428,0.0341661051665518
28,2100.0000000000005,1212.4355652982142,30.0,0.0,21376207.29975443,41763930.935122855,117458237.9936853,1040.405242658756,0.154008611475433,0.5428566189897999,41764288.27576715,0.6482379752442397,5.161769056480716e-05,False,1604.9742261192853,5.0,21375982.88617537,4081.539399319093,2.244289514964948e-06,0.3392857142857143,81250000.0,3.32950086600649e-05
29,2100.0000000000005,1212.4355652982142,30.0,3.0,3394598.5942685017,9659.599658423123,4438.880043595995,753.1974861672851,0.0855757588846956,0.4669699646918804,9659.599658423123,0.4692894589269907,0.3392141935056767,False,1604.9742261192853,9.0,3394598.5942685017,893.3516106922548,0.0506920819591243,0.1964285714285714,114285714.28571428,1.7706212675684067e-05
30,2100.0000000000005,1212.4355652982142,30.0,0.0,77047017.82737488,42602248.00688772,61966058.62520926,1505.22030037157,0.0786543872387632,0.4258897506221212,42603649.49145496,0.9378470232578668,0.0001474072462798,True,1604.9742261192853,1.0,76782299.72323176,1796418.577062663,0.0683322103331036,0.0714285714285714,58035714.28571428,0.0122075111663587
31,2100.0000000000005,1212.4355652982142,30.0,0.0,12960487.568992658,56899006.2097327,33110775.0817425,1931.0422949172105,0.371276601008902,0.4159239790364066,56899006.2097327,1.2031609377219314,0.0001438338822727,False,1604.9742261192853,11.0,12960487.568992658,8643.333745322972,9.925050343132695e-06,0.1964285714285714,81250000.0,6.771216207761228e-05
32,2100.0000000000005,1212.4355652982142,30.0,0.0,1664856.4618866404,18824915.92284232,907478.6755169996,1740.1810491149638,1.8823053592005408,0.9569542715933396,18824915.92284232,1.0842423640176448,0.0,False,1604.9742261192853,12.0,1664856.4618866404,0.0,8.094588596848322e-05,0.0535714285714285,114285714.28571428,0.0127844066800706
33,2100.0000000000005,1212.4355652982142,30.0,1.0,88494981.62678461,47688909.80404275,98642791.7522107,1955.847911828728,0.1966556028809034,0.6253418638926643,47689953.94796571,1.2186163989423249,0.1131516356301662,True,1604.9742261192853,1.0,88280733.10581073,7161447.37620647,0.0244150223327174,0.3214285714285714,58035714.28571428,0.097271828462389
34,2100.0000000000005,1212.4355652982142,30.0,0.0,30388737.08095136,5364135.447533117,2144.0438656614115,398.6643463620394,0.1274152137721553,0.3868319650044144,5364135.447533117,0.2483929896656233,0.0001997035606425,False,1604.9742261192853,11.0,30388697.353134204,357.3406442769019,0.0001331800346402,0.2142857142857142,81250000.0,5.0921648947355525e-06
35,2100.0000000000005,1212.4355652982142,30.0,0.0,2088221.2761201812,18290049.975344487,1721.05499692892,757.7060011751879,0.6692232626941934,0.999984332165888,18290049.975344487,0.4720985476553525,0.0,False,1604.9742261192853,3.0,2088221.2761201812,0.0,5.132128920130139e-05,0.1785714285714285,114285714.28571428,0.0380574062878867
36,4.733990977001667e-13,-6.927791673660978e-14,54.0,3.0,63712289.76775755,70069420.73916562,51804387.88211101,1848.8593781031589,0.136491291603727,0.6375341273195242,70069778.0798099,1.3206138415022564,0.1429409551340257,True,1400.0,1.0,63711956.15347424,1795910.444106113,0.0563423696855658,0.0357142857142857,58035714.28571428,0.129345832406221
37,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,14217085.813497476,70630085.49023023,7150894.424937357,2126.153569241883,0.3613683487708543,0.428299555827032,70630085.49023023,1.5186811208870592,0.0001684432941813,False,1400.0,6.0,14217049.659897327,6733.716221530574,2.067385755489159e-05,0.0357142857142857,81250000.0,5.790003597931782e-05
38,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,1465786.4391203276,16105215.196502358,2550.315041508,3269.230643438911,1.202079420526725,0.973010781034474,16105215.196502358,2.335164745313508,0.0,False,1400.0,11.0,1465786.4391203276,85.45495386613958,8.405546296360735e-05,0.0714285714285714,114285714.28571428,0.0001303266458557
39,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,72168960.56610669,38189809.81106527,30089334.30027303,1215.0000000000005,0.1966223552395321,0.4612920261782373,38189988.48138741,0.8678571428571432,0.0003210603587108,True,1400.0,1.0,72168352.36102046,5276.475634557688,0.0523247883080477,-0.0714285714285714,58035714.28571428,0.0148066847632369
40,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,6717552.002427232,73922595.66849065,12510205.773772735,1950.7383217643523,0.182788672772676,0.4278366868621526,73922774.3388128,1.393384515545966,9.99980000399992e-05,False,1400.0,3.0,6717552.002427232,5304.3536444229685,1.0335793770250618e-05,-0.1071428571428571,81250000.0,2.9200520686526852e-05
41,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,1183262.0019298696,16238363.725025192,2812.599837036026,2797.726398345628,1.1693060604864305,0.9999999993079388,16238363.725025192,1.9983759988183056,0.0,False,1400.0,7.0,1183262.0019298696,0.0,7.556625905832281e-05,-0.0714285714285714,114285714.28571428,4.458094252316168e-05
42,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,55911576.58771806,55107026.512713626,65537527.57244462,975.3691608821756,0.1301269118372489,0.580118448064345,55107205.18303576,0.6966922577729826,0.0002955137533154,True,1400.0,4.0,55911341.53198679,9207.222721603604,0.0740334238161849,-0.0178571428571428,58035714.28571428,0.0825047638395897
43,4.733990977001667e-13,-6.927791673660978e-14,54.0,0.0,15543613.247272264,21165561.427038506,2501.3845099383134,3175.571916993851,0.337076170034563,0.3248209321872475,21165561.427038506,2.268265654995608,5.000750112516878e-05,False,1400.0,11.0,15543529.897507044,3366.858110765289,4.220280422660491e-05,0.1071428571428571,81250000.0,1.1025603359730776e-05
