cell_id,cell_x,cell_y,cell_z,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,48804403.65476719,49475735.93972967,124882139.31094731,1568.1587929798434,0.1648228771935907,0.5468322265553024,49478388.11655188,1.120113423557031,0.3050038136398122,True,1400.0,7.0,48803946.33888779,7163535.664052402,0.0204905672103651,0.2142857142857142,58035714.28571428,0.2474241954271019
1,1400.0000000000005,1.1368683772161605e-13,36.0,2.0,16661453.185454275,8940316.981426762,4589.672355869167,565.1061847122181,0.2707745649797242,0.3516125333901061,8940316.981426762,0.4036472747944415,0.0009818073523872,False,1400.0,9.0,16661436.930236723,2624.298812346206,0.0002534356428538,0.1428571428571428,81250000.0,7.81108604247501e-06
2,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,4746517.08190105,19302090.93520019,3360347.5571416244,2045.724566015669,0.7391787596068229,0.9999999367872676,19302090.93520019,1.4612318328683351,0.0,False,1400.0,4.0,4746517.08190105,207.9571432132693,4.282269397693166e-05,0.1428571428571428,114285714.28571428,0.0001459899781749
3,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,78490673.29393908,22667163.930212703,14290767.04592186,405.6525606969589,0.0856805631939059,0.2985878761386628,22667163.930212703,0.2897518290692564,0.0001333422228148,True,1400.0,4.0,78489415.3886466,2116.1658557961323,0.2824657838272793,0.0714285714285714,58035714.28571428,0.0102452836051825
4,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,8683094.908668565,84080570.09084372,12228019.536736367,2307.346744639826,0.6334971110644677,0.4108384951620105,84080570.09084372,1.6481048175998756,1.7113907956974227e-05,False,1400.0,9.0,8683094.908668565,3160.309778761559,1.29863001815883e-05,0.125,81250000.0,0.0002243808257223
5,1400.0000000000005,1.1368683772161605e-13,36.0,1.0,2037957.5500724963,18799163.083870776,1263.476323648836,2142.8229044883765,1.5876515555237056,0.8676680121096735,18799163.083870776,1.5305877889202688,1.7113615076141004e-05,False,1400.0,5.0,2037957.5500724963,98.37117086232304,3.662673258138776e-05,0.2678571428571428,114285714.28571428,0.00088851623135
6,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,54109304.94791585,52765348.112563066,42593755.46545466,2458.3435480013777,0.0546990143678123,0.4592399052452826,52765526.78288521,1.7559596771438413,0.0001342321424748,True,1400.0,12.0,54109050.31445063,1797669.269317631,0.0,0.2142857142857142,58035714.28571428,0.0483345748411554
7,1400.0000000000005,1.1368683772161605e-13,36.0,0.0,11394056.466494352,45893233.7862785,16082540.194608929,1564.09878204671,0.5670589336673749,0.3896780661822721,45893233.7862785,1.11721341574765,5.000125003125077e-05,False,1400.0,2.0,11394036.350390209,1937.495533657681,8.648717587305196e-06,0.0714285714285714,81250000.0,4.551462076130354e-05
8,1400.0000000000005,1.1368683772161605e-13,36.0,3.0,1549312.6825123096,3582077.654524206,4232.331711592265,731.3036305119783,0.4717611354380034,0.7233631331039643,3582077.654524206,0.5223597360799845,0.0,False,1400.0,8.0,1549312.6825123096,0.0,0.0009388084475929,0.0357142857142857,114285714.28571428,7.065840507604874e-05
9,700.0000000000006,1212.4355652982142,46.0,3.0,58693116.57763767,17869243.415993437,86694953.79869428,964.7247035744228,0.0509730091928246,0.3755764315427926,17869422.086315576,0.6890890739817307,3.333888981496916e-05,True,1399.9999999999995,10.0,58692444.92270961,5963.278913246213,0.0,0.2321428571428571,58035714.28571428,0.0
10,700.0000000000006,1212.4355652982142,46.0,1.0,24514680.249604717,84360667.82739025,38749608.9908548,1642.3517305545345,1.0163149986976208,0.6544082744177269,84360667.82739025,1.173108378967525,6.374717232491306e-05,False,1399.9999999999995,1.0,24514680.249604717,4768.342665988284,1.4513030618220992e-06,0.3035714285714285,81250000.0,1.549684885309892e-05
11,700.0000000000006,1212.4355652982142,46.0,0.0,1021762.7164888878,3580112.280980681,6197.705255115221,679.6030679831399,0.3782637181766188,0.8653109115444874,3580112.280980681,0.4854307628451001,0.0,False,1399.9999999999995,10.0,1021762.7164888878,0.0,0.0006476612999752,0.1428571428571428,114285714.28571428,4.99180700289493e-05
